entity_id,legal_name,sf_account_id,sf_account_owner,sf_billing_country,sf_sector,chainalysis_client_status,abs_stage
5a6c3855ef89,Bitvavo B.V.,001f200001l6FWpAAM,Richard Gannon,Netherlands,Private,Active Customer,Active
a1083be6bf07,Amdax B.V.,001f200001tawxNAAQ,Success Outreach Team,Netherlands,Private,Customer (status unset),
e1503b2aa159,Payward Europe Solutions Limited,,Jeremey Kohler,United States,Private,Active Customer,Active
1c761a7551c7,Payward Global Solutions Limited,,Jeremey Kohler,United States,Private,Active Customer,Active
c1ea2ddba66c,CACEIS BANK,,Fabien Ribert,France,Private,Prospect,Open
56dd4b20353c,Coinbase Luxembourg S.A.,,Peter Brereton,United States,Private,Active Customer,Active
098b58dc4146,GOin SAS,,Success Outreach Team,France,Private,Partner,Active
dfb63aee6570,BTC Direct Europe B.V.,001f200001fLHfhAAG,Richard Gannon,Netherlands,Private,Customer (status unset),
81d79c876077,Robinhood Europe UAB,001f200001fLHpyAAG,Ricky Siewers,United States,Private,In Salesforce (no type),
01dbc1f0ee87,Bybit EU GmbH,0015w000025zWvMAAU,Ray Chia,China,Private,In Salesforce (no type),
3c2b3ed7b8e1,Acheron Europe B.V.,0015w00002ZZiQQAA1,Integration User,Singapore,Private,In Salesforce (no type),
aeac36b892c4,DEBLOCK SAS,0016Q00001hS43AQAS,Henry Fletcher,United Kingdom,Private,Active Customer,Open
fdbe095225aa,Baader Bank Aktiengesellschaft,,Chris Velez,United States,Private,Not in Salesforce,
84ee65c4ba49,Bitstamp Europe S.A.,0016Q00001bIfxfQAC,Integration User,United States,Private,Active Customer,Open
04df9033b645,One Trading Exchange B.V.,0016Q00001j4NMAQA2,Success Outreach Team,Netherlands,Private,Customer (status unset),
d606c2849e3e,N26 Bank SE,001f2000023nr6pAAA,Jed Sibley,Germany,Private,In Salesforce (no type),
4df036c359e0,UAB BLUE EMI LT,,Chris Velez,United States,Private,Prospect,
c960f8c59715,BitGo Europe GmbH,001f200001fLHboAAG,Danny Soifer,United States,Private,In Salesforce (no type),
739a56dcaab0,Vivid Money B.V.,0016Q00001ZZn5rQAD,Paula Burgess,Germany,Private,Customer (status unset),
eedc0706c474,Trade Republic Bank GmbH,,Jed Sibley,Germany,Private,Prospect,
63d1f20577d3,Bitpanda GmbH,,Lucas Martino,Austria,Private,Active Customer,Active
70c035573805,Commerzbank Aktiengesellschaft,0015w00002JELalAAH,Jed Sibley,Germany,Private,Customer (status unset),
48180a6f5fec,flatexDEGIRO Bank AG,0016Q00001ZaGmgQAF,Jed Sibley,Germany,Private,In Salesforce (no type),
377b166d91d6,AvianLabs Netherlands B.V.,,Chris Velez,United States,Private,Not in Salesforce,
e81efa58f9c1,360 Treasury Systems AG,,Jed Sibley,Germany,Private,Not in Salesforce,
ae26ccf4a1e1,Altarius Asset Management Limited,,Chris Velez,United States,Private,Not in Salesforce,
2a8f2ce2773a,Tradias GmbH,,Chris Velez,,Private,Not in Salesforce,
e80ba334e292,Banco Bilbao Vizcaya Argentaria S.A.,0016Q00001bJ9GSQA0,Christian Menda,Spain,Private,Active Customer,Open
c2c05585f0bc,Clearstream Banking S.A.,001VM00000nkBn0YAE,Paula Burgess,Luxembourg,Private,Active Customer,Open
faaa91264cab,Zillion Bits Limited,001f200001pbzLDAAY,Success Outreach Team,Malta,Private,Active Customer,Active
ce2c4589f907,OKX Europe Limited,0016Q00001ZbI2YQAV,Ray Chia,,Private,Active Customer,Open
2bd88583478e,BP23 CA Limited,,Lucas Martino,Austria,Private,Active Customer,
3dd0439be09b,Foris DAX MT Limited,,Ray Chia,Singapore,Private,Active Customer,Active
3275bbb36d48,Crypto Finance (Deutschland) GmbH,0016Q00001ZaDyiQAF,Jed Sibley,Switzerland,Private,In Salesforce (no type),
5ae7854cca6e,Bitpanda Asset Management GmbH,001f200001fLHldAAG,Lucas Martino,United States,Private,In Salesforce (no type),
9a6f8f7ee96a,Boerse Stuttgart Digital Custody GmbH,0015w00002RIQXyAAP,Jed Sibley,Germany,Private,Active Customer,Active
c62d135b5716,eToro (Europe) Ltd,,Fabien Ribert,Israel,Private,Active Customer,
a02aa888ba9e,Hidden Road Partners CIV NL B.V.,0015w00002TEia2AAD,Matt Giancanelli,United States,Private,Customer (status unset),
55a37d8e8cb3,Zebedee Europe B.V.,0015w00002FurNCAAZ,Chris Velez,United States,Private,In Salesforce (no type),
9aaec604ed10,MoonPay Europe B.V.,0015w00002FvXW0AAN,Henry Fletcher,United States,Private,Customer (status unset),
a09d31573b71,BitStaete B.V.,,Anson Yong,China,Private,Not in Salesforce,
78f17de72bef,KBC Bank NV,001f20000213MnzAAE,Richard Gannon,Belgium,Private,Active Customer,Active
b78710fa93d7,Payment Corporation SE,,,,,Not in Salesforce,
b78710fa93d7,Payment Corporation SE,,,,,Not in Salesforce,
b78710fa93d7,Payment Corporation SE,,,,,Not in Salesforce,
969dfcb77efe,AllUnity GmbH,001VM00000Ki0NOYAZ,Paula Burgess,Germany,Private,In Salesforce (no type),
969dfcb77efe,AllUnity GmbH,001VM00000Ki0NOYAZ,Paula Burgess,Germany,Private,In Salesforce (no type),
969dfcb77efe,AllUnity GmbH,001VM00000Ki0NOYAZ,Paula Burgess,Germany,Private,In Salesforce (no type),
969dfcb77efe,AllUnity GmbH,001VM00000Ki0NOYAZ,Paula Burgess,Germany,Private,In Salesforce (no type),
2dc21480638e,Eurodollar ApS,,,,,Not in Salesforce,
d6b19bc20ff6,Paxos Issuance Europe Oy,,Liz Palmer,United States,Private,Active Customer,
d6b19bc20ff6,Paxos Issuance Europe Oy,,Liz Palmer,United States,Private,Active Customer,
d6b19bc20ff6,Paxos Issuance Europe Oy,,Liz Palmer,United States,Private,Active Customer,
d6b19bc20ff6,Paxos Issuance Europe Oy,,Liz Palmer,United States,Private,Active Customer,
09763f8fbbd4,Société Générale - Forge,0015w000025ztviAAA,Fabien Ribert,France,Private,Customer (status unset),
09763f8fbbd4,Société Générale - Forge,0015w000025ztviAAA,Fabien Ribert,France,Private,Customer (status unset),
d29df872d97d,SALVUS,,,,,Not in Salesforce,
6d0035af1b27,Oddo BHF SCA,0015w00002TCv1RAAT,Fabien Ribert,France,Private,In Salesforce (no type),
53d46784b926,HEURO SAS,,Fabien Ribert,France,Private,Prospect,Open
55b3830e62e7,CACEIS BANK SA,,,,,,
b225c32d52ec,Monerium ehf,,,,,Not in Salesforce,
73acb27e5431,AIEU Services Limited S.A.,,,,,Not in Salesforce,
3c74b7df7d4f,SIA GR8 PAY,,,,,Not in Salesforce,
3c74b7df7d4f,SIA GR8 PAY,,,,,Not in Salesforce,
7935306274c5,StablR Ltd,0016Q00001cz7LwQAI,Success Outreach Team,Netherlands,Private,Customer (status unset),
7935306274c5,StablR Ltd,0016Q00001cz7LwQAI,Success Outreach Team,Netherlands,Private,Customer (status unset),
e6569e53213c,Stable mint Ltd,,Drey Dias,Colombia,Private,Not in Salesforce,
e6569e53213c,Stable mint Ltd,,Drey Dias,Colombia,Private,Not in Salesforce,
bd6dba362fbc,Fiat Republic Netherlands,,,,,,
bd6dba362fbc,Fiat Republic Netherlands,,,,,,
bd6dba362fbc,Fiat Republic Netherlands,,,,,,
2439ab26183a,Quantoz Payments B.V,,Success Outreach Team,Netherlands,Private,Prospect,
2439ab26183a,Quantoz Payments B.V,,Success Outreach Team,Netherlands,Private,Prospect,
2439ab26183a,Quantoz Payments B.V,,Success Outreach Team,Netherlands,Private,Prospect,
2439ab26183a,Quantoz Payments B.V,,Success Outreach Team,Netherlands,Private,Prospect,
2439ab26183a,Quantoz Payments B.V,,Success Outreach Team,Netherlands,Private,Prospect,
2439ab26183a,Quantoz Payments B.V,,Success Outreach Team,Netherlands,Private,Prospect,
d6923c2b7eba,StaBillon sp. z o.o.,,,,,Not in Salesforce,
