entity_id,legal_name,sf_account_id,sf_account_owner,sf_billing_country,sf_sector,chainalysis_client_status,abs_stage
bc18bcd1b4b0,CONIO S.R.L.,0015w0000260exbAAA,Andrea Aymerich,Italy,Private,Active Customer,Active
9f88bda148be,K33 MARKETS as,,Samantha Stutman,United States,Private,Prospect,
d8c12f4f91ef,Lightspark Payments Europe AS,,Samantha Stutman,United States,Private,Prospect,
54c87640e014,Krypto Knight Ltd,,Paula Burgess,Austria,Private,Not in Salesforce,
4d8d8b80fa66,"IP wBTCb solutions, s.r.o.",,Mike Meisels,Australia,Private,Prospect,
cb509d25923f,DUE NETWORK S.L.,,Paula Burgess,United Kingdom,Private,Not in Salesforce,
b0694164f362,RUFIJI CAPITAL SAS,0016Q00001j3Tn2QAE,Paula Burgess,Panama,Private,In Salesforce (no type),
d056563ce903,KEYROCK FR SAS,0015w000025zsK7AAI,Paula Burgess,Belgium,Private,Active Customer,Open
7958b91d3eca,RIV-DIGITAL S.R.L.,,Integration User,,Private,Not in Salesforce,
c8a94b1a1877,Floin AG,0016Q00001YzYsUQAV,Paula Burgess,United States,Private,In Salesforce (no type),
f1080f50dbe8,NAGA X,,Success Outreach Team,Gibraltar,Private,Prospect,
cf4512a55440,S.K. DASK KRYPTO LTD,,Ray Chia,China,Private,Not in Salesforce,
f18aa1fa42f5,AS TWINO Investments,,,,,Not in Salesforce,
7917af0b54bb,OLLIV ITALIA S.R.L.,001f200001fLHjdAAG,Danny Soifer,United States,Private,Churned Customer,Churned
28d5d19e2626,Volksbank Heiden eG,,Samantha Stutman,United States,Private,Prospect,
5ea5735b5e39,RULEMATCH Europe AG,,Chris Velez,United States,Private,Not in Salesforce,
c65c46ca9d0c,DIGITAL ASSETS Limited liability company for intermediation and services,,,,,,
470854de87a7,Olmipay Limited,001VM000001vCS6YAM,Success Outreach Team,Netherlands,Private,In Salesforce (no type),
525075427fc5,Stable Mint Ltd.,,Drey Dias,Colombia,Private,Not in Salesforce,
a122989b5a7f,"""Trek Technologies"" SIA",,Peter Brereton,United Arab Emirates,Private,Not in Salesforce,
3eccf0301a60,FIRI AS,,Richard Gannon,Norway,Private,Churned Customer,
d1b6bcf29a91,QWARKS SAS,0016Q00001zmyL8QAI,Fabien Ribert,France,Private,Active Customer,Open
721ecfbfdb94,PAYTOP SAS,,Paula Burgess,Netherlands,Private,Not in Salesforce,
18cb20b8e1b9,Neverless SIA,0016Q00001hRIpDQAW,Success Outreach Team,United Kingdom,Private,Active Customer,Active
8d22baf7c7de,"Bison Bank, S.A.",,,,,,
4a11bb1bc270,TÝR MARKETS AS,001VM00000UCh81YAD,Success Outreach Team,Norway,Private,In Salesforce (no type),
b9966ff67f5d,AS LHV Pank,001f200001fLHV2AAO,Henry Fletcher,Estonia,Private,Customer (status unset),
c56ca36de962,"GG Digital, a.s.",,,,,Not in Salesforce,
865f96c93811,Raiffeisenbank Kreis Kelheim eG,,Integration User,,Private,Not in Salesforce,
